,ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
84,91501-1001,BURBANK    ,5608017003,2017,2530,5608-017-003,1121 CHURCHS CT  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1963,3750,4,4,1,20130906,97034,1977,332440,1977,429474,7000,0,0,0,0,0,Y,429474,7000,422474, ,3,3181,TRACT # 4274 LOT    4,1121, , ,CHURCHS CT, ,BURBANK CA,91501,20175600000000.0,34.19715606,-118.30152609999999,"(34.19715606, -118.30152612)"
104,91501-1111,BURBANK    ,5608019005,2017,2530,5608-019-005,101 COUNTRY CLUB DR  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1952,2170,3,2,1,20000613,43278,1975,96227,1975,139505,7000,0,0,0,0,0,Y,139505,7000,132505, ,3,3181,TRACT # 10797  0.22 AC COM AT MOST S COR OF LOT 6 TH N 41¢20'29'' E 50 FT TH N 48¢40'36'' W 164 FT TH S 41¢20'29'' W 60 FT TO SW LINE OF SD LOT TH SE AND FOLLOWING BDRY LINE THEREOF TO BEG PART OF LOT    6,101, , ,COUNTRY CLUB DR, ,BURBANK CA,91501,20175600000000.0,34.19275548,-118.29663729999999,"(34.19275548, -118.29663727)"
109,91501-1111,BURBANK    ,5608019015,2017,2530,5608-019-015,111 COUNTRY CLUB DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1950,3963,5,6,1,20001013,336771,1988,551103,1988,887874,0,0,0,0,0,0,Y,887874,0,887874, ,3,3181,TRACT # 10797 LOT COM N 41¢20'29'' E 110.8 FT FROM MOST S COR OF LOT 6 TH N 48¢40'36'' W 164 FT TH N 41¢20'29'' E 142.09 FT TH S 48¢39'31'' E 148.9 FT TH SW ON NW LINE OF COUNTRY CLUB DR TO BEG PART OF LOT    6,111, , ,COUNTRY CLUB DR, ,BURBANK CA,91501,20175600000000.0,34.19308753,-118.2962888,"(34.19308753, -118.29628875)"
177,91501-1136,BURBANK    ,5608025002,2017,2530,5608-025-002,1138 E TUJUNGA AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1948,1506,2,2,1,20100907,485716,2011,121427,2011,607143,7000,0,0,0,0,0,Y,607143,7000,600143, ,3,3181,TRACT # 11628 LOT    9,1138, ,E,TUJUNGA AVE, ,BURBANK CA,91501,20175600000000.0,34.19168494,-118.293023,"(34.19168494, -118.29302295)"
191,91501-1135,BURBANK    ,5608026009,2017,2530,5608-026-009,1141 E TUJUNGA AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1947,1861,3,2,1,20051011,225726,1996,160737,1996,386463,7000,0,0,0,0,0,Y,386463,7000,379463, ,3,3181,TRACT # 11628 LOT COM AT MOST S COR OF LOT 3 TH NE ON NW LINE OF TUJUNGA AVE 132.42 FT TH N 74¢21'17'' W 94.65 FT TH S 37¢22'55'' W 72.90 FT TH SE 104.82 FT TO BEG PART OF LOTS 4 AND 5 AND ALL OF LOT    3,1141, ,E,TUJUNGA AVE, ,BURBANK CA,91501,20175600000000.0,34.192110799999995,-118.29321110000001,"(34.19211080, -118.29321106)"
239,91501-1135,BURBANK    ,5608028019,2017,2530,5608-028-019,1121 E TUJUNGA AVE  BURBANK CA  91501,SFR,104,Residential,Single Family Residence, ,Therapy Pool (Spa),1,1941,1945,1869,3,3,1,20070919,46782,1976,101498,1976,148280,7000,0,0,0,0,0,Y,148280,7000,141280, ,3,3181,TRACT NO 11271 LOT    1,1121, ,E,TUJUNGA AVE, ,BURBANK CA,91501,20175600000000.0,34.19172608,-118.2939636,"(34.19172608, -118.29396357)"
267,91501-1602,BURBANK    ,5608030018,2017,2530,5608-030-018,420 S SUNSET CANYON DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1777,3,2,1,20130220,331618,1993,109038,1993,440656,7000,0,0,0,0,0,Y,440656,7000,433656, ,3,3181,VILLA LOTS IN BURBANK SE 60 FT OF LOT   11,420, ,S,SUNSET CANYON DR, ,BURBANK CA,91501,20175600000000.0,34.19011832,-118.2923663,"(34.19011832, -118.29236630)"
330,91501-1663,BURBANK    ,5608035002,2017,2530,5608-035-002,704 VIEW DR  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1990,1783,3,3,1,20151120,616794,2016,428706,2016,1045500,0,0,0,0,0,0,Y,1045500,0,1045500, ,3,3181,TRACT # 3545 LOT ON NE LINE OF VIEW DR COM SE 55.94 FT FROM NW LINE OF LOT 42 TH SE ON SD NE LINE 50 FT TH N 62¢43'10'' E TO E LINE OF SD LOT TH N THEREON TO A PT N 62¢43'10'' E FROM BEG TH S 62¢43'10'' W TO BEG PART OF LOT   42,704, , ,VIEW DR, ,BURBANK CA,91501,20175600000000.0,34.18892333,-118.289126,"(34.18892333, -118.28912599)"
332,91501-1663,BURBANK    ,5608035004,2017,2530,5608-035-004,712 VIEW DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1224,2,1,1,20010301,228729,1996,136261,1996,364990,7000,0,0,0,0,0,Y,364990,7000,357990, ,3,3181,TRACT # 3545 LOT ON NE LINE OF VIEW DR COM NW 93.52 FT FROM SE LINE OF LOT 42 TH NW ON SD NE LINE 50 FT TH N 62¢43'10'' E TO E LINE OF SD LOT TH S THEREON TO A PT N 62¢43'10'' E FROM BEG TH S 62¢43'10'' W TO BEG PART OF LOT   42,712, , ,VIEW DR, ,BURBANK CA,91501,20175600000000.0,34.1886554,-118.28902020000001,"(34.18865540, -118.28902024)"
333,91501-1665,BURBANK    ,5608035005,2017,2530,5608-035-005,1125 E ELMWOOD AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1943,1610,2,2,1,20121102,532596,2009,133145,2009,665741,0,0,0,0,0,0,Y,665741,0,665741, ,3,3181,TRACT # 3545 LOT COM AT MOST E COR OF LOT 42 TH S 62¢43'10'' W 95 FT TH NW ON NE LINE OF VIEW DR 93.52 FT TH N 62¢43' 10'' E TO E LINE OF SD LOT TH S THEREON TO BEG PART OF LOT   42,1125, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.18847376,-118.28894809999998,"(34.18847376, -118.28894805)"
